no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,cnpj_emissor
3R LUX R.L.,3R Lux S.a.r.l.,,,
4UM GESTAO RECURSOS,,4UM Gestão de Recursos Ltda.,,03983856000112
ACHE LABORATORIOS FARMACEUTICOS,Ache Laboratorios Farmaceuticos S.A.,,,60659463000191
ACO VERDE,,,Aco Verde do Brasil S.A.,07636657000199
ACUCAREIRA QUATA,Acucareira Quata S.A.,,Acucareira Quata S.A.,60855574000173
ADAMI,,Adami S.A. - Madeiras,,83054478000121
ADAMI MADEIRAS,,,Adami S.A. Madeiras,87790606000156
ADYEN INSTITUICAO PAGAMENTO,,,Adyen do Brasil Instituicao de Pagamento Ltda,14796606000190
AEGEA SANEAMENTO PARTICIPACOES,Aegea Saneamento e Participacoes S.A.,Aegea Saneamento e Participações S.A.,AEGEA Saneamento e Participacoes S.A.,08827501000158
AERIS INDUSTRIA COMERCIO EQUIPAMENTOS PARA GERACAO ENERGIA,Aeris Industria e Comercio de Equipamentos para Geracao de Energia S.A.,,,12528708000107
AES TUCANO HOLDING II,AES Tucano Holding II S.A.,,,34623550000189
AETE,AETE - Amazonia Empresa Transmissora de Energia S.A.,,,06001492000116
AFINITTY FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CEDITORIOS,,Afinitty Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Ceditórios,,22.358.482/0001-99
AFYA PARTICIPACOES,,Afya Participações S.A.,,23399329000172
AGENCIA FOMENTO ESTADO SANTA CATARINA,Agencia de Fomento do Estado de Santa Catarina S.A. - Badesc,,,82937293000100
AGRO INDUSTRIAS VALE SAO FRANCISCO,,,Agro Industrias do Vale do Sao Francisco S.A.,13642699000135
AGROLEND SOCIEDADE CREDITO,,"Agrolend Sociedade de Credito, Financiamento e Investimento S.A.",,43774196000184
AGROTERENAS ADMINISTRACAO PARTICIPACOES,,,Agroterenas S.A. Administracao e Participacoes,13553385000166
AGUA VERMELHA TRANSMISSORA ENERGIA,Agua Vermelha Transmissora de Energia S.A,,,26855869000101
AGUAS GUARIROBA,Aguas Guariroba S.A.,,Aguas Guariroba S.A.,04089570000150
AGUAS IMPERATRIZ,Aguas da Imperatriz S.A.,,,39523638000142
AGUAS PARA B SPE,,,Aguas do Para B SPE S.A.,61067902000130
AGUAS PARA D SPE,,,Aguas do Para D SPE S.A.,61067904000129
AGUAS PARA SPE,,,Aguas do Para A SPE S.A.,61067901000195
AGUAS PARAIBA,Aguas do Paraiba S.A.,,,01280003000199
AGUAS RIO 1 SPE,,,Aguas do Rio 1 SPE S.A.,42310775000103
AGUAS RIO 4 SPE,,,Aguas do Rio 4 SPE S.A.,42644220000106
AGUAS SERTAO,,Águas do Sertão S.A.,,45456117000112
AGUAS TERESINA SANEAMENTO SPE,Aguas de Teresina Saneamento SPE S.A.,,,27157474000106
AKAD SEGUROS,,,Akad Seguros S.A.,14868712000131
ALAGOAS,,,Alagoas (State of),12.200.176/0001-76
ALARES INTERNET PARTICIPACOES,Alares Internet Participacoes S.A.,,,23438929000100
ALASKA INVESTIMENTOS,,Alaska Investimentos Ltda,,11752203000150
ALBIOMA SOLAR PARTICIPACOES,Albioma Solar Participacoes S.A.,,,46731060000185
ALGAR TELECOM,,,Algar Telecom S/A,71208516000174
ALIANCA GERACAO ENERGIA,Alianca Geracao de Energia S.A.,,,11851057000110
ALIBEM ALIMENTOS,,Alibem Alimentos S.A.,,03941052000150
ALLIANCA SAUDE PARTICIPACOES,Allianca Saude e Participacoes S.A.,,,42771949000135
ALLOS,ALLOS S.A.,Allos S.A.,,05878397000132
ALSOL ENERGIAS RENOVAVEIS,Alsol Energias Renovaveis S.A.,,,15483161000150
ALTHAIA INDUSTRIA FARMACEUTICA,Althaia S.A. Industria Farmaceutica,,,48344725000719
ALUBAR METAIS CABOS,Alubar Metais e Cabos S.A.,,,08262121000113
ALUPAR INVESTIMENTO,Alupar Investimento S.A.,,,08364948000138
AMBEV,,AMBEV S.A.,Ambev S.A.,07526557000100
AMBIENTAL CEARA 1 SPE,,,Ambiental Ceara 1 SPE S.A.,48569940000122
AMBIENTAL CEARA 2 SPE,,,Ambiental Ceara 2 SPE S.A.,48569926000129
AMBIPAR LUX R.L.,Ambipar Lux S.a.r.l.,,,
AMBIPAR PARTICIPACOES EMPREENDIMENTOS,Ambipar Participacoes e Empreendimentos S.A.,,,12648266000124
AMPLA ENERGIA SERVICOS,Ampla Energia e Servicos S.A.,,,33050071000158
ANDRE MAGGI PARTICIPACOES,Andre Maggi Participacoes S.A.,,,04786144000176
ANGELINA COLOMBO PARTICIPACOES,,,Angelina Colombo Participacoes S.A.,35881121000174
ANIMA HOLDING,Anima Holding S.A.,Ânima Holding S.A.,,09288252000132
APIUNA PARTICIPACOES,Apiuna Participacoes S/A,,,49272860000173
ARAUCARIA SANEAMENTO,,Araucária Saneamento S.A.,,12049167000126
